"RK",TIERS,"PLAYER NAME",TEAM,"FAN PTS","PTS VS.","SACK","SAFE","INT","FUMR","DEF TD","BLK KICK","RET TD"
"1",1,"San Francisco 49ers",SF,"8.2","0.0","2.2","0.0","1.0","0.5","0.1","0.0","0.0"
"2",1,"Dallas Cowboys",DAL,"8.9","0.0","2.8","0.0","0.8","0.9","0.2","0.0","0.0"
"3",1,"Philadelphia Eagles",PHI,"7.9","0.0","3.7","0.0","0.9","0.5","0.1","0.0","0.0"
"4",2,"Buffalo Bills",BUF,"8.0","0.0","2.1","0.1","0.9","0.5","0.1","0.0","0.0"
"5",2,"New York Jets",NYJ,"6.9","0.0","2.6","0.1","0.7","0.2","0.0","0.0","0.0"
"6",2,"New England Patriots",NE,"10.9","0.0","3.2","0.0","1.1","0.6","0.4","0.0","0.0"
"7",2,"Baltimore Ravens",BAL,"7.4","0.0","2.7","0.0","0.8","0.6","0.0","0.0","0.0"
"8",3,"Kansas City Chiefs",KC,"6.4","0.0","2.9","0.1","0.6","0.5","0.1","0.0","0.0"
"9",3,"Denver Broncos",DEN,"6.0","0.0","2.1","0.1","0.9","0.5","0.0","0.0","0.0"
"10",3,"Pittsburgh Steelers",PIT,"6.3","0.0","2.4","0.0","1.2","0.2","0.1","0.0","0.0"
"11",3,"New Orleans Saints",NO,"6.8","0.0","2.8","0.0","0.4","0.4","0.1","0.0","0.0"
"12",3,"Miami Dolphins",MIA,"5.9","0.0","2.2","0.1","0.4","0.3","0.1","0.0","0.0"
"13",3,"Cincinnati Bengals",CIN,"5.8","0.0","1.5","0.0","0.7","0.6","0.1","0.0","0.0"
"14",4,"Cleveland Browns",CLE,"6.3","0.0","2.0","0.0","0.6","0.5","0.2","0.0","0.0"
"15",4,"Washington Commanders",WAS,"6.9","0.0","2.5","0.1","0.5","0.5","0.2","0.0","0.0"
"16",4,"Green Bay Packers",GB,"6.9","0.0","2.0","0.1","1.0","0.4","0.1","0.0","0.0"
"17",4,"Los Angeles Chargers",LAC,"5.9","0.0","2.2","0.1","0.8","0.6","0.1","0.0","0.0"
"18",4,"Tampa Bay Buccaneers",TB,"5.7","0.0","2.4","0.0","0.6","0.6","0.1","0.0","0.0"
"19",4,"Jacksonville Jaguars",JAC,"7.3","0.0","1.8","0.0","0.7","0.7","0.2","0.0","0.0"
"20",4,"Indianapolis Colts",IND,"6.8","0.0","2.6","0.0","0.6","0.6","0.1","0.0","0.0"
"21",4,"Seattle Seahawks",SEA,"6.5","0.0","2.5","0.0","0.8","0.6","0.1","0.0","0.0"
"22",5,"Carolina Panthers",CAR,"6.9","0.0","2.1","0.0","0.6","0.4","0.2","0.0","0.0"
"23",5,"New York Giants",NYG,"5.6","0.0","2.2","0.0","0.3","0.7","0.1","0.0","0.0"
"24",5,"Tennessee Titans",TEN,"6.1","0.0","2.3","0.0","0.8","0.4","0.1","0.0","0.0"
"25",5,"Detroit Lions",DET,"5.8","0.0","2.3","0.1","0.7","0.6","0.1","0.0","0.0"
"26",5,"Los Angeles Rams",LAR,"6.1","0.0","2.2","0.0","0.9","0.4","0.1","0.0","0.0"
"27",5,"Minnesota Vikings",MIN,"5.9","0.0","2.1","0.0","0.8","0.6","0.1","0.0","0.0"
"28",5,"Atlanta Falcons",ATL,"5.2","0.0","1.2","0.1","0.6","0.4","0.1","0.0","0.0"
"29",5,"Arizona Cardinals",ARI,"6.1","0.0","2.1","0.0","0.6","0.5","0.3","0.0","0.0"
"30",5,"Chicago Bears",CHI,"3.6","0.0","1.2","0.0","0.8","0.5","0.0","0.0","0.0"
"31",5,"Houston Texans",HOU,"6.8","0.0","2.3","0.1","0.9","0.6","0.1","0.0","0.0"
"32",5,"Las Vegas Raiders",LV,"4.5","0.0","1.6","0.0","0.4","0.4","0.2","0.0","0.0"