PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_FAN PTS,PASS_YDS,PASS_TDS,REC,REC_YDS,REC_TDS,RUSH_ATT,RUSH_YDS,RUSH_TDS
247,12,JELANI WOODS,IND,0,0,0,0,0,0,0,0,0
248,12,INDIANAPOLIS COLTS,IND,139,0,0,0,0,0,0,0,0
249,12,CAIRO SANTOS,CHI,158,0,0,0,0,0,0,0,0
250,12,JONATHAN MINGO,CAR,84.8,0,0,43,418,0,0,0,0
251,12,JAMAAL WILLIAMS,NO,60.8,0,0,18,62,0,106,306,1
252,12,JALEN MCMILLAN,TB,0,0,0,0,0,0,0,0,0
253,12,DJ CHARK,LAC,115.5,0,0,35,525,5,0,0,0
254,12,JASON MYERS,SEA,158,0,0,0,0,0,0,0,0
255,12,TREYLON BURKS,TEN,39.9,0,0,16,221,0,5,18,0
256,12,JUSTIN FIELDS,PIT,239.2,2562,16,0,0,0,124,657,4
257,12,JATAVION SANDERS,CAR,0,0,0,0,0,0,0,0,0
258,12,AT PERRY,NO,60.6,0,0,12,246,4,0,0,0
259,12,DAWSON KNOX,BUF,54.6,0,0,22,186,2,0,0,0
260,12,SAMAJE PERINE,DEN,121.3,0,0,50,455,0,53,238,1
261,12,CARTAVIOUS BIGSBY,JAC,22.8,0,0,1,6,0,50,132,2
262,12,DETROIT LIONS,DET,107,0,0,0,0,0,0,0,0
263,12,GERALD EVERETT,CHI,111.1,0,0,51,411,3,3,10,0
264,12,SAM DARNOLD,MIN,24.4,297,2,0,0,0,21,15,1
265,12,TREY PALMER,TB,95.7,0,0,39,385,3,3,22,0
266,12,JONNU SMITH,MIA,124.2,0,0,50,582,3,1,0,0
267,12,DEVONTEZ WALKER,BAL,0,0,0,0,0,0,0,0,0
268,12,ANDREI IOSIVAS,CIN,50.6,0,0,15,116,4,0,0,0
269,12,WILL SHIPLEY,PHI,0,0,0,0,0,0,0,0,0
270,12,CEDRIC TILLMAN,CLE,44.2,0,0,21,224,0,1,8,0
271,12,DANIEL CARLSON,LV,121,0,0,0,0,0,0,0,0
272,12,GARDNER MINSHEW,LV,205.2,3305,15,0,0,0,34,100,3
273,12,ALEC PIERCE,IND,95.4,0,0,32,514,2,0,0,0
274,12,JOSH REYNOLDS,DEN,128.8,0,0,40,608,5,0,0,0
275,12,JACKSONVILLE JAGUARS,JAC,120,0,0,0,0,0,0,0,0
276,12,CINCINNATI BENGALS,CIN,118,0,0,0,0,0,0,0,0
277,12,ZACH ERTZ,WAS,51.7,0,0,27,187,1,0,0,0
278,12,KJ OSBORN,NE,120,0,0,48,540,3,0,0,0
279,12,DENVER BRONCOS,DEN,118,0,0,0,0,0,0,0,0
280,12,TYLER HIGBEE,LAR,108.5,0,0,47,495,2,0,0,0
281,13,DYLAN LAUBE,LV,0,0,0,0,0,0,0,0,0
282,13,EVAN HULL,IND,1.7,0,0,1,6,0,1,1,0
283,13,GREG DULCICH,DEN,5.5,0,0,3,25,0,0,0,0
284,13,LUKE MCCAFFREY,WAS,0,0,0,0,0,0,0,0,0
285,13,TREY SERMON,IND,20.3,0,0,3,13,0,35,160,0
286,13,BLAKE GRUPE,NO,150,0,0,0,0,0,0,0,0
287,13,MICHAEL CARTER,ARI,58.8,0,0,24,101,1,30,187,0
288,13,DEUCE VAUGHN,DAL,15,0,0,7,40,0,23,40,0
289,13,AIDAN OCONNELL,LV,132.8,2218,12,0,0,0,17,11,1
290,13,JORDAN MASON,SF,44.7,0,0,3,31,0,40,206,3
291,13,NOAH BROWN,HOU,101.6,0,0,33,567,2,1,-1,0
292,13,KADARIUS TONEY,KC,53,0,0,27,169,1,11,31,0
293,13,ISAAC GUERENDO,SF,0,0,0,0,0,0,0,0,0
294,13,DERNEST JOHNSON,JAC,34.8,0,0,10,140,0,41,108,0
295,13,CORDARRELLE PATTERSON,PIT,36.9,0,0,9,38,1,50,181,0
296,13,CHRISTOPHER RODRIGUEZ,WAS,37.9,0,0,2,12,0,51,247,2
297,13,GREG ZUERLEIN,NYJ,143,0,0,0,0,0,0,0,0
298,13,DANIEL BELLINGER,NYG,50.5,0,0,25,255,0,0,0,0
299,13,BRENDEN RICE,LAC,0,0,0,0,0,0,0,0,0
300,13,JEFFERY WILSON,MIA,41.3,0,0,14,85,0,41,188,0
301,13,ERIC GRAY,NYG,13,0,0,6,22,0,17,48,0
302,13,PIERRE STRONG,CLE,42.8,0,0,5,47,0,63,291,1
303,13,GREG DORTCH,ARI,64.5,0,0,24,280,2,1,5,0
304,13,GREEN BAY PACKERS,GB,115,0,0,0,0,0,0,0,0
305,13,JACOBY BRISSETT,NE,22.9,224,3,0,0,0,3,19,0
306,13,COLBY PARKINSON,LAR,61.7,0,0,25,247,2,0,0,0
307,13,CHASE EDMONDS,TB,39.7,0,0,14,81,0,49,176,0
308,13,ISRAEL ABANIKANDA,NYJ,16.3,0,0,7,43,0,22,70,0
309,13,EMARI DEMERCADO,ARI,73.3,0,0,21,119,0,58,284,2
310,13,NEW ENGLAND PATRIOTS,NE,109,0,0,0,0,0,0,0,0
311,13,MICHAEL THOMAS,FA,89.8,0,0,39,448,1,0,0,0
312,13,THEO JOHNSON,NYG,0,0,0,0,0,0,0,0,0
313,13,JALEN TOLBERT,DAL,58.8,0,0,22,268,2,0,0,0
314,13,JACOB COWING,SF,0,0,0,0,0,0,0,0,0
315,13,TYLER SCOTT,CHI,35.9,0,0,17,168,0,7,41,0
316,13,HAYDEN HURST,LAC,42.4,0,0,18,184,1,0,0,0
317,13,ROBERT WOODS,HOU,89.3,0,0,40,426,1,1,7,0
318,13,LAS VEGAS RAIDERS,LV,146,0,0,0,0,0,0,0,0
319,13,JERICK MCKINNON,FA,84.4,0,0,25,192,4,21,60,1
320,13,MICHAEL PENIX,ATL,0,0,0,0,0,0,0,0,0
321,13,KAREEM HUNT,FA,118.5,0,0,15,84,0,135,411,9
322,13,CAM AKERS,HOU,46.7,0,0,11,70,0,60,167,2
323,13,RONNIE RIVERS,LAR,20.1,0,0,5,22,0,32,129,0
324,13,ISAIAH SPILLER,LAC,19,0,0,6,34,0,37,96,0
325,13,SALVON AHMED,MIA,42.9,0,0,16,88,1,22,61,1
326,13,CHATARIUS ATWELL,LAR,112.4,0,0,39,483,3,5,31,0
327,14,RASHEEN ALI,BAL,0,0,0,0,0,0,0,0,0
328,14,KALIF RAYMOND,DET,97.4,0,0,35,489,1,7,75,0
329,14,MALIK WASHINGTON,MIA,0,0,0,0,0,0,0,0,0
330,14,DALVIN COOK,FA,40.2,0,0,15,78,0,67,214,0
331,14,TRE TUCKER,LV,71.8,0,0,19,331,2,10,77,0
332,14,JOSHUA KELLEY,FA,61.7,0,0,8,32,0,107,405,2
333,14,NELSON AGHOLOR,BAL,97.1,0,0,35,381,4,0,0,0
334,14,BO MELTON,GB,45.9,0,0,16,218,1,3,21,0
335,14,MARQUEZ VALDES-SCANTLING,BUF,56.5,0,0,21,315,1,0,0,0
336,14,ROYCE FREEMAN,DAL,46.2,0,0,1,13,0,77,319,2
337,14,DENERIC PRINCE,KC,0,0,0,0,0,0,0,0,0
338,14,SAM HOWELL,SEA,278.5,3946,21,0,0,0,48,263,5
339,14,JUJU SMITH-SCHUSTER,NE,61,0,0,29,260,1,0,0,0
340,14,DONALD PARHAM,LAC,79.5,0,0,27,285,4,0,0,0
341,14,LOGAN THOMAS,SF,126.8,0,0,55,496,4,1,2,0
342,14,ALLEN LAZARD,NYJ,60.1,0,0,23,311,1,0,0,0
343,14,MATT BREIDA,FA,46.9,0,0,17,88,0,55,151,1
344,14,CALVIN AUSTIN,PIT,52.7,0,0,17,180,1,11,57,1
345,14,DONOVAN PEOPLES-JONES,DET,28.5,0,0,13,155,0,0,0,0
346,14,VAN JEFFERSON,PIT,41.3,0,0,20,209,0,1,4,0
347,14,ERICK ALL,CIN,0,0,0,0,0,0,0,0,0
348,14,JAUAN JENNINGS,SF,51.5,0,0,19,265,1,0,0,0
349,14,JAWHAR JORDAN,HOU,0,0,0,0,0,0,0,0,0
350,14,TY JOHNSON,BUF,32.4,0,0,7,62,1,30,132,0
351,14,HUNTER RENFROW,FA,48.5,0,0,25,255,0,0,0,0
352,14,DREW LOCK,NYG,32.1,543,3,0,0,0,5,14,0
353,14,XAVIER GIPSON,NYJ,58.7,0,0,21,229,0,8,68,1
354,14,TANNER HUDSON,CIN,80.2,0,0,39,352,1,0,0,0
355,14,PARRIS CAMPBELL,PHI,30.4,0,0,20,104,0,0,0,0
356,14,KEAONTAY INGRAM,KC,14,0,0,4,26,0,35,74,0
357,14,NOAH GRAY,KC,70.6,0,0,28,305,2,1,1,0
358,14,SKYY MOORE,KC,53.7,0,0,21,244,1,3,23,0
359,14,WIL LUTZ,DEN,129,0,0,0,0,0,0,0,0
360,14,KYLEN GRANSON,IND,73,0,0,30,368,1,1,2,0
361,14,WILL DISSLY,LAC,40.2,0,0,17,172,1,0,0,0
362,14,JOE FLACCO,IND,108.8,1616,13,0,0,0,9,2,0
363,14,TAMPA BAY BUCCANEERS,TB,133,0,0,0,0,0,0,0,0
364,14,JOHN METCHIE,HOU,32.2,0,0,16,158,0,1,4,0
365,14,BRANDON POWELL,MIN,67.1,0,0,29,324,1,5,17,0
366,14,CRAIG REYNOLDS,DET,29.6,0,0,5,47,0,41,179,1
367,14,TIM PATRICK,DEN,0,0,0,0,0,0,0,0,0
368,14,PARKER WASHINGTON,JAC,39.2,0,0,16,132,2,0,0,0
369,14,LOS ANGELES RAMS,LAR,83,0,0,0,0,0,0,0,0
370,14,DAVIS ALLEN,LAR,25.5,0,0,10,95,1,0,0,0
371,14,KENNY PICKETT,PHI,114.2,2070,6,0,0,0,42,54,1
372,14,JOHNNY WILSON,PHI,0,0,0,0,0,0,0,0,0
373,14,JAMEIS WINSTON,CLE,15,264,2,0,0,0,5,-6,0
374,14,CHRIS BOSWELL,PIT,133,0,0,0,0,0,0,0,0
375,14,JUSTIN WATSON,KC,89,0,0,27,460,3,0,0,0
376,14,LATAVIUS MURRAY,FA,82.9,0,0,17,119,0,79,300,4
377,14,BREVIN JORDAN,HOU,50.9,0,0,17,219,2,0,0,0
378,14,CADE STOVER,HOU,0,0,0,0,0,0,0,0,0
379,14,ISAIAH DAVIS,NYJ,0,0,0,0,0,0,0,0,0
380,14,AINIAS SMITH,PHI,0,0,0,0,0,0,0,0,0
381,14,JEREMY RUCKERT,NYJ,31.1,0,0,16,151,0,0,0,0
382,14,JOHN MUNDT,MIN,40.2,0,0,17,172,1,0,0,0
383,14,JOSH OLIVER,MIN,53.3,0,0,22,213,2,0,0,0
384,14,CEDRICK WILSON,NO,69.6,0,0,22,296,3,0,0,0
385,14,BLAKE WATSON,DEN,0,0,0,0,0,0,0,0,0
386,15,SEATTLE SEAHAWKS,SEA,109,0,0,0,0,0,0,0,0
387,15,NYHEIM HINES,CLE,0,0,0,0,0,0,0,0,0
388,15,JAHEIM BELL,NE,0,0,0,0,0,0,0,0,0
389,15,NEW YORK GIANTS,NYG,131,0,0,0,0,0,0,0,0
390,15,JAKE BATES,DET,0,0,0,0,0,0,0,0,0
391,15,JARRETT STIDHAM,DEN,27.6,496,2,0,0,0,9,8,0
392,15,SEAN TUCKER,TB,5.2,0,0,2,9,0,15,23,0
393,15,JAKE BROWNING,CIN,151.4,1936,12,0,0,0,27,127,3
394,15,BRANDON MCMANUS,FA,146,0,0,0,0,0,0,0,0
395,15,AMEER ABDULLAH,LV,41,0,0,19,131,0,15,89,0
396,15,GREG JOSEPH,GB,119,0,0,0,0,0,0,0,0
397,15,KENNY MCINTOSH,SEA,0,0,0,0,0,0,0,0,0
398,15,TOMMY TREMBLE,CAR,60.4,0,0,23,194,3,0,0,0
399,15,DARNELL WASHINGTON,PIT,13.1,0,0,7,61,0,0,0,0
400,15,TRENTON IRWIN,CIN,62.6,0,0,25,316,1,0,0,0
401,15,JASE MCCLELLAN,ATL,0,0,0,0,0,0,0,0,0
402,15,MACK HOLLINS,BUF,43.1,0,0,18,251,0,0,0,0
403,15,ADAM TRAUTMAN,DEN,60.4,0,0,22,204,3,0,0,0
404,15,FRANK GORE,BUF,0,0,0,0,0,0,0,0,0
405,15,JARET PATTERSON,LAC,0,0,0,0,0,0,0,0,0
406,15,CHARLIE JONES,CIN,20.7,0,0,7,64,0,2,13,0
407,15,TRAYVEON WILLIAMS,CIN,14.9,0,0,7,10,0,15,69,0
408,15,CHASE MCLAUGHLIN,TB,136,0,0,0,0,0,0,0,0
409,15,LOS ANGELES CHARGERS,LAC,112,0,0,0,0,0,0,0,0
410,15,MATT PRATER,ARI,130,0,0,0,0,0,0,0,0
411,15,CHASE CLAYPOOL,BUF,21.7,0,0,8,77,1,0,0,0
412,15,NICK WESTBROOK,TEN,85,0,0,28,370,3,0,0,0
413,15,CHRIS MOORE,ARI,68.3,0,0,22,424,0,2,39,0
414,15,QUEZ WATKINS,PIT,35.2,0,0,15,142,1,0,0,0
415,15,BRAXTON BERRIOS,MIA,57.9,0,0,27,238,1,1,11,0
416,15,AUSTIN HOOPER,NE,48.4,0,0,25,234,0,0,0,0
417,15,CAM LITTLE,JAC,0,0,0,0,0,0,0,0,0
418,15,CAROLINA PANTHERS,CAR,71,0,0,0,0,0,0,0,0
419,15,CASEY WASHINGTON,ATL,0,0,0,0,0,0,0,0,0
420,15,MALIK DAVIS,DAL,0,0,0,0,0,0,0,0,0
421,15,RYAN FLOURNOY,DAL,0,0,0,0,0,0,0,0,0
422,15,KYLE JUSZCZYK,SF,38.5,0,0,14,119,2,5,6,0
423,15,ISAIAH HODGINS,NYG,60,0,0,21,230,3,0,0,0
424,15,BOSTON SCOTT,LAR,15.8,0,0,4,52,0,20,86,0
425,15,ATLANTA FALCONS,ATL,95,0,0,0,0,0,0,0,0
426,15,XAVIER HUTCHINSON,HOU,21.9,0,0,8,90,0,5,49,0
427,15,JAMARI THRASH,CLE,0,0,0,0,0,0,0,0,0
428,15,MICHAEL GALLUP,FA,87.8,0,0,34,418,2,0,0,0
429,15,DEEJAY DALLAS,ARI,8.2,0,0,6,26,0,10,36,0
430,15,JARED WILEY,KC,0,0,0,0,0,0,0,0,0
431,15,LUCAS KRULL,DEN,23.5,0,0,8,95,1,0,0,0
432,15,WILL REICHARD,MIN,0,0,0,0,0,0,0,0,0
433,15,JORDAN WHITTINGTON,LAR,0,0,0,0,0,0,0,0,0
434,15,GRAHAM GANO,NYG,50,0,0,0,0,0,0,0,0
435,15,WILL MALLORY,IND,38.7,0,0,18,207,0,0,0,0
436,15,LUKE SCHOONMAKER,DAL,26.5,0,0,8,65,2,0,0,0
437,15,JAKE BOBO,SEA,56.9,0,0,19,196,2,1,3,1
438,15,MECOLE HARDMAN,KC,25.7,0,0,15,124,0,1,3,0
439,15,SPENCER RATTLER,NO,0,0,0,0,0,0,0,0,0
440,15,ROBERT TONYAN,MIN,22.2,0,0,11,112,0,0,0,0
441,15,TERRACE MARSHALL,CAR,32.9,0,0,19,139,0,0,0,0
442,15,WASHINGTON COMMANDERS,WAS,64,0,0,0,0,0,0,0,0
443,15,FOSTER MOREAU,NO,46.3,0,0,21,193,1,0,0,0
444,15,JALEN NAILOR,MIN,5.9,0,0,3,29,0,0,0,0
445,15,JERROD MEANS,NO,0,0,0,0,0,0,0,0,0
446,15,KEVIN HARRIS,NE,21.3,0,0,3,58,0,16,65,1
447,15,TYQUAN THORNTON,NE,27.2,0,0,13,91,0,3,51,0
448,15,DAVID BELL,CLE,48.7,0,0,14,167,3,0,0,0
449,15,RAY RAY MCCLOUD,ATL,28.5,0,0,12,135,0,3,30,0
450,15,KAVONTAE TURPIN,DAL,59.7,0,0,12,127,3,11,110,1
451,15,ISAIAH MCKENZIE,NYG,16.6,0,0,11,82,0,3,14,0
452,15,KENDALL MILTON,PHI,0,0,0,0,0,0,0,0,0
453,15,CORNELIUS JOHNSON,LAC,0,0,0,0,0,0,0,0,0
454,15,JAMISON CROWDER,WAS,35.9,0,0,16,159,1,0,0,0
455,15,TYLER GOODSON,IND,18.1,0,0,6,34,0,13,87,0
456,15,ZACH EVANS,LAR,1.9,0,0,0,0,0,9,19,0
457,15,MAC JONES,JAC,118.4,2120,10,0,0,0,26,96,0
458,15,CHRIS EVANS,CIN,2.1,0,0,1,-1,0,2,12,0
459,15,RAHEEM BLACKSHEAR,CAR,17.1,0,0,6,45,0,14,46,0
460,15,KYLE PHILIPS,TEN,31.1,0,0,15,181,0,0,0,0
461,15,TYROD TAYLOR,NYJ,90.3,1341,5,0,0,0,38,197,0
462,15,EDDY PINEIRO,CAR,109,0,0,0,0,0,0,0,0
463,15,JUSTYN ROSS,KC,11.3,0,0,6,53,0,0,0,0
464,15,COLE TURNER,WAS,23,0,0,11,120,0,0,0,0
465,15,IAN THOMAS,CAR,10.6,0,0,5,56,0,0,0,0
466,16,IRV SMITH,KC,33.5,0,0,18,115,1,0,0,0
467,16,DURHAM SMYTHE,MIA,71.6,0,0,35,366,0,0,0,0
468,16,BROCK WRIGHT,DET,28.1,0,0,13,91,1,0,0,0
469,16,JALEN BROOKS,DAL,12.4,0,0,6,64,0,0,0,0
470,16,HASSAN HASKINS,TEN,0,0,0,0,0,0,0,0,0
471,16,AJ BARNER,SEA,0,0,0,0,0,0,0,0,0
472,16,RILEY PATTERSON,WAS,93,0,0,0,0,0,0,0,0
473,16,CODY SCHRADER,SF,0,0,0,0,0,0,0,0,0
474,16,DYAMI BROWN,WAS,35,0,0,12,168,1,1,0,0
475,16,KENE NWANGWU,MIN,1.3,0,0,0,0,0,5,13,0
476,16,DEVIN DUVERNAY,JAC,7.3,0,0,4,18,0,4,15,0
477,16,TRENT SHERFIELD,MIN,25.6,0,0,11,86,1,0,0,0
478,16,DILLON JOHNSON,CAR,0,0,0,0,0,0,0,0,0
479,16,ZACH WILSON,DEN,126.9,2271,8,0,0,0,36,211,0
480,16,LEONARD FOURNETTE,FA,4,0,0,0,0,0,12,40,0
481,16,JOSHUA DOBBS,SF,210.7,2464,13,0,0,0,77,421,6
482,16,DERIUS DAVIS,LAC,35.7,0,0,15,66,0,14,101,0
483,16,OLAMIDE ZACCHEAUS,WAS,38.4,0,0,10,164,2,0,0,0
484,16,TIP REIMAN,ARI,0,0,0,0,0,0,0,0,0
485,16,MICHAEL WILEY,WAS,0,0,0,0,0,0,0,0,0
486,16,NICK FOLK,TEN,131,0,0,0,0,0,0,0,0
487,16,JOSH WHYLE,TEN,24.4,0,0,9,94,1,0,0,0
488,16,ALLEN ROBINSON,NYG,62,0,0,34,280,0,0,0,0
489,16,ANDY DALTON,CAR,23.6,361,2,0,0,0,3,12,0
490,16,JORDAN AKINS,CLE,28.2,0,0,15,132,0,0,0,0
491,16,CARSON WENTZ,KC,27.1,163,2,0,0,0,17,56,1
492,16,TREY LANCE,DAL,0,0,0,0,0,0,0,0,0
493,16,ANTHONY GOULD,IND,0,0,0,0,0,0,0,0,0
494,16,KEILAN ROBINSON,JAC,0,0,0,0,0,0,0,0,0
495,16,PATRICK TAYLOR,SF,30,0,0,11,49,0,32,141,0
496,16,CHRISTOPHER BROOKS,MIA,10.6,0,0,0,0,0,19,106,0
497,16,AVERY WILLIAMS,ATL,0,0,0,0,0,0,0,0,0
498,16,CONNOR HEYWARD,PIT,39.7,0,0,23,167,0,1,0,0
499,16,DREW SAMPLE,CIN,50.3,0,0,22,163,2,0,0,0
500,16,MO ALIE-COX,IND,49.1,0,0,13,161,3,0,0,0
501,16,BRENTON STRANGE,JAC,14.5,0,0,5,35,1,0,0,0
502,16,SIONE HOUMA,DET,0,0,0,0,0,0,0,0,0
