"POS_RK",POS_TIERS,"PLAYER NAME",TEAM,"AVG_FAN PTS"
"1",1,"Tyreek Hill",KC,"16.1"
"2",1,"Davante Adams",GB,"17.4"
"3",1,"Stefon Diggs",BUF,"12.6"
"4",2,"Calvin Ridley",ATL,"12.8"
"5",2,"DeAndre Hopkins",ARI,"10.8"
"6",2,"D.K. Metcalf",SEA,"11.8"
"7",2,"A.J. Brown",TEN,"12.7"
"8",2,"Justin Jefferson",MIN,"11.6"
"9",3,"Terry McLaurin",WAS,"9.1"
"10",3,"Allen Robinson II",CHI,"10.1"
"11",3,"Mike Evans",TB,"11.2"
"12",3,"Keenan Allen",LAC,"10.4"
"13",3,"CeeDee Lamb",DAL,"9.0"
"14",3,"Chris Godwin",TB,"10.5"
"15",3,"Julio Jones",TEN,"10.6"
"16",3,"Amari Cooper",DAL,"9.1"
"17",3,"Robert Woods",LAR,"9.7"
"18",3,"D.J. Moore",CAR,"9.7"
"19",4,"Adam Thielen",MIN,"12.0"
"20",4,"Kenny Golladay",NYG,"9.2"
"21",4,"Cooper Kupp",LAR,"7.8"
"22",4,"Tyler Lockett",SEA,"10.3"
"23",4,"Brandon Aiyuk",SF,"10.4"
"24",4,"Tee Higgins",CIN,"8.0"
"25",4,"Odell Beckham Jr.",CLE,"9.1"
"26",4,"Diontae Johnson",PIT,"8.9"
"27",4,"Courtland Sutton",DEN,"6.6"
"28",5,"Chase Claypool",PIT,"9.6"
"29",5,"Ja'Marr Chase",CIN,"0"
"30",5,"D.J. Chark Jr.",JAC,"7.7"
"31",5,"Jerry Jeudy",DEN,"6.6"
"32",5,"Robby Anderson",CAR,"8.1"
"33",5,"Deebo Samuel",SF,"6.8"
"34",5,"JuJu Smith-Schuster",PIT,"8.6"
"35",5,"Will Fuller V",MIA,"12.4"
"36",5,"Brandin Cooks",HOU,"10.1"
"37",5,"Tyler Boyd",CIN,"7.6"
"38",5,"Curtis Samuel",WAS,"9.0"
"39",5,"DeVonta Smith",PHI,"0"
"40",6,"Mike Williams",LAC,"7.0"
"41",6,"Jarvis Landry",CLE,"7.7"
"42",6,"Michael Thomas",NO,"6.3"
"43",6,"Michael Gallup",DAL,"7.1"
"44",6,"Laviska Shenault Jr.",JAC,"7.1"
"45",6,"DeVante Parker",MIA,"7.4"
"46",6,"Marquise Brown",BAL,"7.8"
"47",6,"Corey Davis",NYJ,"9.0"
"48",6,"Antonio Brown",TB,"9.0"
"49",6,"Michael Pittman Jr.",IND,"4.5"
"50",6,"Marvin Jones Jr.",JAC,"9.5"
"51",6,"Jaylen Waddle",MIA,"0"
"52",6,"T.Y. Hilton",IND,"7.2"
"53",6,"Mecole Hardman",KC,"5.4"
"54",6,"Darnell Mooney",CHI,"5.7"
"55",6,"Henry Ruggs III",LV,"4.5"
"56",7,"John Brown",LV,"7.1"
"57",7,"Jalen Reagor",PHI,"5.1"
"58",7,"Nelson Agholor",NE,"8.6"
"59",7,"Tre'Quan Smith",NO,"4.9"
"60",7,"Cole Beasley",BUF,"8.4"
"61",7,"Gabriel Davis",BUF,"6.4"
"62",7,"Rashod Bateman",BAL,"0"
"63",7,"Russell Gage",ATL,"6.8"
"64",7,"Christian Kirk",ARI,"7.0"
"65",7,"Sterling Shepard",NYG,"8.0"
"66",7,"Jamison Crowder",NYJ,"9.4"
"67",7,"Parris Campbell",IND,"4.3"
"68",7,"Breshad Perriman",DET,"5.8"
"69",7,"Allen Lazard",GB,"6.5"
"70",7,"Darius Slayton",NYG,"5.7"
"71",7,"Elijah Moore",NYJ,"0"
"72",7,"Emmanuel Sanders",BUF,"7.4"
"73",7,"Rondale Moore",ARI,"0"
"74",7,"Jakobi Meyers",NE,"6.0"
"75",7,"Denzel Mims",NYJ,"4.2"
"76",8,"Bryan Edwards",LV,"2.1"
"77",8,"Marquez Valdes-Scantling",GB,"6.5"
"78",8,"A.J. Green",ARI,"4.0"
"79",8,"Sammy Watkins",BAL,"5.1"
"80",8,"Amon-Ra St. Brown",DET,"0"
"81",8,"Terrace Marshall Jr.",CAR,"0"
"82",8,"Josh Reynolds",TEN,"4.5"
"83",8,"DeSean Jackson",LAR,"6.2"
"84",8,"Randall Cobb",GB,"6.2"
"85",8,"Tim Patrick",DEN,"7.3"
"86",8,"KJ Hamler",DEN,"4.6"
"87",8,"Anthony Miller",HOU,"3.7"
"88",8,"Van Jefferson",LAR,"1.7"
"89",8,"Hunter Renfrow",LV,"4.7"
"90",8,"Tyrell Williams",DET,"0"
"91",8,"James Washington",PIT,"4.3"
"92",8,"Kadarius Toney",NYG,"0"
"93",8,"Amari Rodgers",GB,"0"
"94",8,"Preston Williams",MIA,"7.1"
"95",8,"Rashard Higgins",CLE,"6.5"
"96",8,"Zach Pascal",IND,"5.8"
"97",8,"Kendrick Bourne",NE,"5.4"
"98",8,"Keke Coutee",HOU,"6.8"
"99",8,"Travis Fulgham",PHI,"6.0"
"100",8,"Nico Collins",HOU,"0"
"101",8,"N'Keal Harry",NE,"2.9"
"102",8,"Quintez Cephus",DET,"3.6"
"103",8,"Tyron Johnson",LAC,"5.0"
"104",9,"Keelan Cole Sr.",NYJ,"6.3"
"105",9,"Scotty Miller",TB,"4.3"
"106",9,"Donovan Peoples-Jones",CLE,"3.7"
"107",9,"Andy Isabella",ARI,"2.6"
"108",9,"D'Wayne Eskridge",SEA,"0"
"109",9,"Greg Ward",PHI,"5.0"
"110",9,"Miles Boykin",BAL,"3.2"
"111",9,"John Ross",NYG,"0.6"
"112",9,"Dyami Brown",WAS,"0"
"113",9,"Demarcus Robinson",KC,"4.2"
"114",9,"Marquez Callaway",NO,"1.9"
"115",9,"Byron Pringle",KC,"2.3"
"116",9,"Olamide Zaccheaus",ATL,"3.0"
"117",9,"Lynn Bowden Jr.",MIA,"2.6"
"118",10,"Jalen Guyton",LAC,"4.3"
"119",10,"Josh Palmer",LAC,"0"
"120",10,"Steven Sims Jr.",WAS,"2.5"
"121",10,"Cordarrelle Patterson",ATL,"3.0"
"122",10,"Tutu Atwell",LAR,"0"
"123",10,"Antonio Gandy-Golden",WAS,"0.4"
"124",10,"Dede Westbrook",MIN,"-0.8"
"125",10,"Tyler Johnson",TB,"2.1"
"126",10,"Golden Tate",FA,"4.3"
"127",10,"Deonte Harris",NO,"3.1"
"128",10,"Tylan Wallace",BAL,"0"
"129",10,"Devin Duvernay",BAL,"2.1"
"130",10,"Larry Fitzgerald",FA,"3.6"
"131",10,"Jalen Hurd",SF,"0"
"132",10,"Danny Amendola",FA,"4.3"
"133",10,"Adam Humphries",WAS,"5.0"
"134",10,"Collin Johnson",JAC,"2.9"
"135",10,"Dez Fitzpatrick",TEN,"0"
"136",10,"Alshon Jeffery",FA,"2.5"
"137",10,"Cornell Powell",KC,"0"
"138",10,"Auden Tate",CIN,"1.7"
"139",10,"David Moore",CAR,"5.2"
"140",10,"Chris Conley",HOU,"3.8"
"141",10,"Anthony Schwartz",CLE,"0"
"142",10,"Cam Sims",WAS,"3.4"
"143",10,"Dazz Newsome",CHI,"0"
"144",10,"Ihmir Smith-Marsette",MIN,"0"
"145",10,"Olabisi Johnson",MIN,"1.3"
"146",10,"Willie Snead IV",LV,"4.7"
"147",11,"Kenny Stills",BUF,"2.0"
"148",11,"Equanimeous St. Brown",GB,"1.5"
"149",11,"Devin Funchess",GB,"0"
"150",11,"Isaiah McKenzie",BUF,"4.3"
"151",11,"Damiere Byrd",CHI,"4.2"
"152",11,"Richie James Jr.",SF,"3.8"
"153",11,"Simi Fehoko",DAL,"0"
"154",11,"Cedrick Wilson",DAL,"2.2"
"155",11,"Lil'Jordan Humphrey",NO,"3.5"
"156",11,"Shi Smith",CAR,"0"
"157",11,"Jaelon Darden",TB,"0"
"158",11,"Frank Darby",ATL,"0"
"159",11,"Freddie Swain",SEA,"1.7"
"160",11,"Braxton Berrios",NYJ,"3.8"
"161",11,"Mohamed Sanu",SF,"2.7"
"162",11,"Kelvin Harmon",WAS,"0"
"163",11,"J.J. Arcega-Whiteside",PHI,"1.3"
"164",11,"Seth Williams",DEN,"0"
"165",11,"Quez Watkins",PHI,"2.8"
"166",11,"Demetric Felton",CLE,"0"
"167",11,"Marquez Stevenson",BUF,"0"
"168",11,"Sage Surratt",DET,"0"
"169",11,"Jakeem Grant Sr.",MIA,"3.7"
"170",11,"Chad Beebe",MIN,"2.1"
"171",11,"Marquise Goodwin",CHI,"0"
"172",11,"John Hightower",PHI,"1.4"
"173",11,"Kalif Raymond",DET,"1.2"
"174",11,"KeeSean Johnson",ARI,"2.2"
"175",11,"Zay Jones",LV,"1.4"
"176",11,"Javon Wims",CHI,"0.8"
"177",11,"Antonio Callaway",KC,"0.4"
"178",11,"Tajae Sharpe",ATL,"0.0"
"179",11,"Albert Wilson",MIA,"0"
"180",11,"Ray-Ray McCloud",PIT,"0.8"
"181",11,"Isaiah Coulter",HOU,"0.0"
"182",11,"Juwan Johnson",NO,"0.6"
"183",11,"Geronimo Allison",DET,"0"
"184",11,"Christian Blake",ATL,"0.9"
"185",11,"Gunner Olszewski",NE,"1.6"
"186",12,"Cade Johnson",SEA,"0"
"187",12,"Phillip Dorsett II",JAC,"0"
"188",12,"Nick Westbrook-Ikhine",TEN,"0.4"
"189",12,"Chad Hansen",DET,"5.9"
"190",12,"Cameron Batson",TEN,"1.5"
"191",12,"Mike Thomas",CIN,"1.2"
"192",12,"Andre Roberts",HOU,"-0.1"
"193",12,"Alex Erickson",HOU,"0.7"
"194",12,"Riley Ridley",CHI,"0.8"
"195",12,"Noah Brown",DAL,"1.0"
"196",12,"Jamal Agnew",JAC,"0.8"
"197",12,"Trishton Jackson",LAR,"0"
"198",12,"K.J. Hill Jr.",LAC,"0.4"
"199",12,"Penny Hart",SEA,"0.2"
"200",12,"KhaDarel Hodge",CLE,"2.0"
"201",12,"Dante Pettis",NYG,"1.7"
"202",12,"Justin Watson",TB,"0.9"
"203",12,"Trent Taylor",CIN,"0.7"
"204",12,"Mike Strachan",IND,"0"
"205",12,"Marvin Hall",NE,"3.5"
"206",12,"Chester Rogers",TEN,"0"
"207",12,"John Ursua",SEA,"0"
"208",12,"Devin Smith",NE,"0"
"209",12,"Joe Reed",LAC,"0.8"
"210",12,"Trey Quinn",LV,"0.0"
"211",12,"Isaiah Zuber",NE,"1.3"
"212",12,"Laquon Treadwell",JAC,"3.4"
"213",12,"River Cracraft",SF,"0.5"
"214",12,"Racey McMath",TEN,"0"
"215",12,"Kawaan Baker",NO,"0"
"216",12,"Mack Hollins",MIA,"1.4"
"217",12,"DeMichael Harris",IND,"1.8"
"218",12,"Dez Bryant",FA,"2.8"
"219",12,"Diontae Spencer",DEN,"1.0"
"220",12,"K.J. Osborn",MIN,"0.0"
"221",12,"Chris Finke",KC,"0"
"222",12,"Ashton Dulin",IND,"0.5"
"223",12,"Jaydon Mickens",TB,"0.6"
"224",12,"Blake Proehl",MIN,"0"
"225",12,"Marcus Kemp",KC,"0.1"
"226",13,"Ben Skowronek",LAR,"0"
"227",13,"Austin Watkins Jr.",SF,"0"
"228",13,"Tyrie Cleveland",DEN,"0.6"
"229",13,"Chad Williams",KC,"0"
"230",13,"Juwann Winfree",GB,"0.0"
"231",13,"Stanley Morgan Jr.",CIN,"0.0"
"232",13,"Chris Rowland",ATL,"0.0"
"233",13,"Jake Kumerow",BUF,"1.4"
"234",13,"Marcus Johnson",TEN,"2.3"
"235",13,"Brandon Powell",BUF,"1.2"
"236",13,"Brandon Zylstra",CAR,"0.2"
"237",13,"T.J. Vasher",DAL,"0"
"238",13,"Trent Sherfield",SF,"0.3"
"239",13,"Whop Philyor",MIN,"0"
"240",14,"C.J. Board",NYG,"0.7"
"241",14,"Isaiah Wright",WAS,"1.4"
"242",14,"Vyncint Smith",NYJ,"0.2"
"243",14,"Rico Bussey",PIT,"0"